"","rowSums(table_SNP_characterized)"
"PET0550",2449
"PET0580",2422
"PET0636",2398
"PET0654",2435
"PET0669",2427
"PET0680",2413
"PET0712",2433
"PET0732",2441
"Paiute",2431
"PetPet03",2402
"PetPet04",2399
"PetPet07",2407
"PetPet08",2387
"PetPet09",2387
"PetPet11",2397
"SD1W_13",2423
"SD1W_15",2417
"SD1W_35",2414
"SD1W_4",2423
"SD2W_18",2410
"SD2W_23",2395
"SD2W_23R",2385
"SD2W_27",2441
"SF_01",1795
"SF_02",1124
"SF_03",2454
"SF_04",2450
"SF_05",2445
"SF_06",2427
"SF_07",2449
"SF_09_a",1695
"SF_09_b",1681
"SF_10",1364
"SF_11_a",2437
"SF_11_b",1766
"SF_11c",2446
"SF_12",2189
"SF_13",1200
"SF_14",1619
"SF_15",162
"SF_17",2350
"SF_18",618
"SF_19",2454
"SF_20",1342
"SF_21",2400
"SF_22",2444
"SF_23",2421
"SF_25",2423
"SF_26",372
"SF_27",648
"SF_28",2413
"SF_29",1512
"SF_30",2425
"SF_31",1041
"SF_32",2350
"SF_33",49
"SF_35",1675
"SF_35b",2307
"SF_36",42
"SF_36b",54
"SF_36c",85
"SF_36d",44
"SF_37",463
"SF_37b",336
"SF_38",507
"SF_38b",59
"SF_39",270
"SF_40",1017
"SF_41",2310
"SF_42",2276
"SF_43",2367
"SF_45",2447
"SF_46",2406
"SF_47",231
"SF_48",1488
"SF_49",1615
"SF_50",1719
"SF_51",160
"SF_52",472
"SF_53",34
"SF_55",296
"SF_56",56
"SF_57",636
"SF_58",812
"SF_59",341
"SF_60",29
"SF_61_a",163
"SF_61_b",93
"SF_62_a",123
"SF_62_b",51
"SF_63a",2067
"SF_63b",2060
"SF_64a",1216
"SF_64b",975
"SF_65a_coat",69
"SF_65a_endo",185
"SF_65c_coat",76
"SF_65c_endo",363
"SF_65d",390
"SF_65g_coat",72
"SF_65g_endo",667
"SF_65h_coat",90
"SF_65h_endo",164
"SF_65i",409
"SF_65j_coat",75
"SF_65j_endo",389
"SF_65k_coat",107
"SF_65k_endo",548
"SF_65l",92
"SF_65m",513
"SF_66a",1758
"SK1W_22R",2429
"SK1W_29R",2427
"SK1W_37",2387
"SK1W_Q",2383
"San_Ildefonso_Pueblo_13597_747",2439
"San_Luis_Potosi_28315",2464
"Se_Purp",2421
"Se_Strip_682a",2415
"Se_Strip_682b",2423
"Seneca",2417
"Seneca_137749",2459
"Sonora_28388",2394
"Zuni",2440
"ann01_cwIA",2394
"ann04_nwAR",2395
"ann05_ccNM",2391
"ann10_ccIL",2398
"ann20_seAZ",2379
"ann28_swSK",2412
"ann29_neSD",2397
"ann34_cwKS",2382
"ann39_ncNE",2386
"annMex_A1516",2368
"annMex_A1572",2313
"annMex_Ann261",2371
